"County","Population","NumberOfHouseholds","AverageHouseholdSize","Farming","Tea","Coffee","Avocado","Citrus","Mango","Coconut","Macadamia","Cashew Nut","Khat (Miraa)","Male","Female","Intersex","Total"
"mombasa",1190987,378422,3.1,12497,0,0,0,0,0,1688,0,602,0,610257,598046,30,1208333
"kwale",858748,173176,5,108074,0,0,1063,10053,30272,31954,881,22803,0,425121,441681,18,866820
"kilifi",1440958,298472,4.8,161188,0,0,0,6808,37519,47561,0,27940,0,704089,749673,25,1453787
"lamu",141909,37963,3.7,18678,0,0,0,2742,7423,5017,189,8085,0,76103,67813,4,143920
"taita/taveta",335747,96429,3.5,56920,0,0,7963,3284,7171,2504,3650,543,0,173337,167327,7,340671
"garissa",835482,141394,5.9,47645,0,0,0,0,1726,0,0,0,0,458975,382344,34,841353
"wajir",775302,127932,6.1,63433,0,0,0,0,0,0,0,0,0,415374,365840,49,781263
"mandera",862079,125763,6.9,62639,0,0,0,0,2685,0,0,0,0,434976,432444,37,867457
"marsabit",447150,77495,5.8,39167,0,0,0,0,0,0,0,0,0,243548,216219,18,459785
"isiolo",267997,58072,4.6,24271,0,0,0,0,0,0,0,0,0,139510,128483,9,268002
"meru",1535635,426360,3.6,274865,30404,28195,41746,6255,27457,0,29545,0,85023,767698,777975,41,1545714
"tharaka-nithi",391303,109860,3.6,85767,7227,15792,13171,1630,14102,0,9280,0,8404,193764,199406,7,393177
"embu",604769,182743,3.3,130990,18664,28996,19355,3581,26771,0,27488,0,34900,304208,304367,24,608599
"kitui",1130134,262942,4.3,215322,0,0,12066,7510,35471,0,0,0,0,549003,587151,33,1136187
"machakos",1414022,402466,3.5,231341,0,23525,45243,22797,75504,0,6519,0,0,710707,711191,34,1421932
"makueni",977015,244669,4,193531,0,3371,34107,27006,70130,0,4293,0,0,489691,497942,20,987653
"nyandarua",636002,179686,3.5,140854,0,0,2892,1580,0,0,0,0,0,315022,323247,20,638289
"nyeri",752695,248050,3,164229,23300,57983,22810,2521,10228,0,25436,0,0,374288,384845,31,759164
"kirinyaga",605630,204188,3,139866,25135,47835,19691,2429,15311,0,28508,0,5821,302011,308369,31,610411
"murang'a",1053059,318105,3.3,231400,43819,64533,52839,7210,38361,0,35618,0,0,523940,532669,31,1056640
"kiambu",2402834,795241,3,214052,20958,31152,31392,2160,9855,0,11748,0,0,1187146,1230454,135,2417735
"turkana",922210,164519,5.6,61209,0,0,0,0,0,0,0,0,0,478087,448868,21,926976
"samburu",307957,65910,4.7,43149,0,0,0,0,0,0,0,0,0,156774,153546,7,310327
"elgeyo/marakwet",453403,99861,4.5,74881,751,1390,5224,1632,6430,0,518,0,0,227317,227151,12,454480
"nandi",883634,199426,4.4,148887,37564,11044,29356,1202,5806,0,0,0,0,441259,444430,22,885711
"baringo",662760,142518,4.7,100465,0,3069,12372,2605,10600,0,1673,0,0,336322,330428,13,666763
"laikipia",513879,149271,3.4,90729,0,0,5273,2121,2103,0,773,0,0,259440,259102,18,518560
"nakuru",2142667,616046,3.5,283652,10041,0,20209,4332,6560,0,0,0,0,1077272,1084835,95,2162202
"narok",1149379,241125,4.8,181706,0,0,13430,1784,2332,0,0,0,0,579042,578805,26,1157873
"kajiado",1107296,316179,3.5,97565,0,0,2994,0,2776,0,0,0,0,557098,560704,38,1117840
"kericho",896863,206036,4.4,150845,55837,24774,40748,2283,5588,0,0,0,0,450741,451008,28,901777
"bomet",873023,187641,4.7,152564,50704,1940,44903,3298,3679,0,0,0,0,434287,441379,23,875689
"kakamega",1861332,433207,4.3,335269,4644,2990,63886,4435,49075,0,2292,0,0,897133,970406,40,1867579
"vihiga",587189,143365,4.1,113753,11273,1717,34321,1233,26209,0,0,0,0,283678,306323,12,590013
"bungoma",1663898,358796,4.6,280445,2047,37773,73765,5268,54581,0,2428,0,0,812146,858389,35,1670570
"busia",886856,198152,4.5,148257,0,1498,27498,3616,35530,0,1148,0,0,426252,467401,28,893681
"siaya",989708,250698,3.9,194362,0,0,31729,7350,44660,0,1262,0,0,471669,521496,18,993183
"kisumu",1144777,300745,3.8,147117,0,0,19478,5265,28305,0,0,0,0,560942,594609,23,1155574
"migori",1108950,240168,4.6,169958,0,3864,33338,4444,27231,0,1196,0,0,536187,580214,35,1116436
"kisii",1260509,308054,4.1,219853,67394,53580,88326,3850,17144,0,0,0,0,605784,661038,38,1266860
"nyamira",603051,150669,4,110028,62706,25936,43349,2020,3502,0,0,0,0,290907,314656,13,605576
